Assembly Accession,Assembly Name,Organism Name,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds
GCA_001483305.2,ASM148330v2,Caenorhabditis elegans,,N2,,,,hermaphrodite,,Scaffold,2017-12-05,LNZE02,2084
GCA_900160655.1,spades_ilmn_draft_assembly.fasta.gz,Caenorhabditis elegans,,,,,,,,Contig,2017-02-19,FUEF01,
GCA_000149515.1,ASM14951v1,Caenorhabditis remanei,,PB4641,,,,,Annotation submitted by The Caenorhabditis remanei Sequencing Consortium,Scaffold,2007-07-19,AAGD02,3670
GCF_000149515.1,ASM14951v1,Caenorhabditis remanei,,PB4641,,,,,Annotation submitted by NCBI RefSeq,Scaffold,2007-07-19,AAGD02,3670
GCA_964036175.1,nxDipCoro1.1 alternate haplotype,Diploscapter coronatus,,,,,,,,Contig,2024-05-11,CAXIWH01,
GCA_964263935.1,nxOscSpef2.1 alternate haplotype,Oscheius sp. TWN1964,,,,,,,,Contig,2024-09-15,CAXVWS01,
GCA_964264165.1,nxOscSpek2.1 alternate haplotype,Oscheius sp. JU1182,,JU1182,,,,,,Contig,2024-09-15,CAXVXY01,
GCA_000004555.2,,Caenorhabditis briggsae AF16,,,,,,,,,,,
GCA_001483305.1,,Caenorhabditis elegans,,,,,,,,,,,
GCA_001643685.1,,Caenorhabditis nigoni,,,,,,,,,,,
GCA_001643735.1,,Caenorhabditis remanei,,,,,,,,,,,
GCA_001643735.2,,Caenorhabditis remanei,,,,,,,,,,,
GCA_001643735.3,,Caenorhabditis remanei,,,,,,,,,,,
GCA_002259225.1,,Caenorhabditis remanei,,,,,,,,,,,
GCA_002259225.2,,Caenorhabditis remanei,,,,,,,,,,,
GCA_002259235.1,,Caenorhabditis latens,,,,,,,,,,,
GCA_002259235.2,,Caenorhabditis latens,,,,,,,,,,,
GCA_900536235.1,,Caenorhabditis sp. 21,,,,,,,,,,,
GCA_900536235.2,,Caenorhabditis sp. 21 LS-2015,,,,,,,,,,,
GCA_900536285.1,,Caenorhabditis sp. 26,,,,,,,,,,,
GCA_900536285.2,,Caenorhabditis sp. 26 LS-2015,,,,,,,,,,,
GCA_900536295.1,,Caenorhabditis sp. 31,,,,,,,,,,,
GCA_900536295.2,,Caenorhabditis sp. 31 LS-2015,,,,,,,,,,,
GCA_900536305.1,,Caenorhabditis sp. 40,,,,,,,,,,,
GCA_900536305.2,,Caenorhabditis sp. 40 LS-2015,,,,,,,,,,,
GCA_900536315.1,,Caenorhabditis becei,,,,,,,,,,,
GCA_900536315.2,,Caenorhabditis becei,,,,,,,,,,,
GCA_900536325.1,,Caenorhabditis sp. 32,,,,,,,,,,,
GCA_900536325.2,,Caenorhabditis sp. 32 LS-2015,,,,,,,,,,,
GCA_900536345.1,,Caenorhabditis sp. 39,,,,,,,,,,,
GCA_900536345.2,,Caenorhabditis sp. 39 LS-2015,,,,,,,,,,,
GCA_900536415.1,,Caenorhabditis sp. 38,,,,,,,,,,,
GCA_900536415.2,,Caenorhabditis sp. 38 MB-2015,,,,,,,,,,,
GCA_900883565.1,,Caenorhabditis panamensis,,,,,,,,,,,
